pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
-50,x,0,0,0,0,,,,,0.0421193,,0.0298392,0.0421193,1.0091295,1.0091295,1.0091295,1.0091295,1.0420361,2.0099066,2.0099066,3.0989851,x,1,1.0717156,None,568810,1,2024-10-11_19h04.27.544,MotorSequenceLearning,2024.1.5,None,2024-10-11 19h04.31.260832 +0530
150,v,0,1,1,1,,,,,3.1112165,,3.099977,3.1112165,4.1120649,4.1120649,4.1120649,4.1120649,4.1120649,5.1134949,5.1134949,5.4151282,v,1,0.2895264,None,568810,1,2024-10-11_19h04.27.544,MotorSequenceLearning,2024.1.5,None,2024-10-11 19h04.31.260832 +0530
50,c,0,2,2,2,,,,,5.4302709,,5.4158315,5.4302709,6.4315491,6.4315491,6.4315491,6.4315491,6.4315491,7.4157171,7.4157171,7.6668834,c,1,0.2437183,None,568810,1,2024-10-11_19h04.27.544,MotorSequenceLearning,2024.1.5,None,2024-10-11 19h04.31.260832 +0530
-150,z,0,3,3,3,,,,,7.7488805,,7.6676583,7.7488805,8.667445,8.667445,8.667445,8.667445,8.7507825,9.6683979,9.6683979,9.9207825,z,1,0.2504361,None,568810,1,2024-10-11_19h04.27.544,MotorSequenceLearning,2024.1.5,None,2024-10-11 19h04.31.260832 +0530
-50,x,1,0,4,0,,,,,9.9352317,,9.9214209,9.9352317,10.9364514,10.9364514,10.9364514,10.9364514,10.9364514,11.9205355,11.9205355,12.4060405,x,1,0.4762011,None,568810,1,2024-10-11_19h04.27.544,MotorSequenceLearning,2024.1.5,None,2024-10-11 19h04.31.260832 +0530
150,v,1,1,5,1,,,,,12.4214589,,12.4068064,12.4214589,13.4058935,13.4058935,13.4058935,13.4058935,13.4228606,14.4070081,14.4070081,14.6589976,v,1,0.249403,None,568810,1,2024-10-11_19h04.27.544,MotorSequenceLearning,2024.1.5,None,2024-10-11 19h04.31.260832 +0530
50,c,1,2,6,2,,,,,14.6740183,,14.6597239,14.6740183,15.6584905,15.6584905,15.6584905,15.6584905,15.6751691,16.6602684,16.6602684,16.7941375,c,1,0.1212303,None,568810,1,2024-10-11_19h04.27.544,MotorSequenceLearning,2024.1.5,None,2024-10-11 19h04.31.260832 +0530
-150,z,1,3,7,3,,,,,16.8095316,,16.7949817,16.8095316,17.7939937,17.7939937,17.7939937,17.7939937,17.810874,18.795006,18.795006,19.0633519,z,1,0.2665479,None,568810,1,2024-10-11_19h04.27.544,MotorSequenceLearning,2024.1.5,None,2024-10-11 19h04.31.260832 +0530
-50,x,2,0,8,0,,,,,19.0786642,,19.0642507,19.0786642,20.0631826,20.0631826,20.0631826,20.0631826,20.0800233,21.0650386,21.0650386,21.0990465,x,1,0.0267296,None,568810,1,2024-10-11_19h04.27.544,MotorSequenceLearning,2024.1.5,None,2024-10-11 19h04.31.260832 +0530
150,v,2,1,9,1,,,,,21.1142987,,21.0997253,21.1142987,22.099029,22.099029,22.099029,22.099029,22.1161401,23.1003034,23.1003034,23.734942,v,1,0.6192421,None,568810,1,2024-10-11_19h04.27.544,MotorSequenceLearning,2024.1.5,None,2024-10-11 19h04.31.260832 +0530
50,c,2,2,10,2,,,,,23.7505894,,23.7355722,23.7505894,24.7354672,24.7354672,24.7354672,24.7354672,24.7519342,25.7363488,25.7363488,26.0375116,c,1,0.2874877,None,568810,1,2024-10-11_19h04.27.544,MotorSequenceLearning,2024.1.5,None,2024-10-11 19h04.31.260832 +0530
-150,z,2,3,11,3,,,,,26.0527223,,26.0381524,26.0527223,27.0380697,27.0380697,27.0380697,27.0380697,27.0542627,28.0383848,28.0383848,28.2902279,z,1,0.2365663,None,568810,1,2024-10-11_19h04.27.544,MotorSequenceLearning,2024.1.5,None,2024-10-11 19h04.31.260832 +0530
-50,x,3,0,12,0,,,,,28.3053446,,28.2908647,28.3053446,29.2901897,29.2901897,29.2901897,29.2901897,29.3068296,30.2914583,30.2914583,30.5428162,x,1,0.2446995,None,568810,1,2024-10-11_19h04.27.544,MotorSequenceLearning,2024.1.5,None,2024-10-11 19h04.31.260832 +0530
150,v,3,1,13,1,,,,,30.5580521,,30.5436617,30.5580521,31.5596659,31.5596659,31.5596659,31.5596659,31.5596659,32.5434868,32.5434868,32.6619833,v,1,0.1161664,None,568810,1,2024-10-11_19h04.27.544,MotorSequenceLearning,2024.1.5,None,2024-10-11 19h04.31.260832 +0530
50,c,3,2,14,2,,,,,32.6773841,,32.6626783,32.6773841,33.6614965,33.6614965,33.6614965,33.6614965,33.6784186,34.6623612,34.6623612,34.9639641,c,1,0.2996531,None,568810,1,2024-10-11_19h04.27.544,MotorSequenceLearning,2024.1.5,None,2024-10-11 19h04.31.260832 +0530
-150,z,3,3,15,3,,,,,34.9795726,,34.9646022,34.9795726,35.9640807,35.9640807,35.9640807,35.9640807,35.981117,36.965224,36.965224,37.2168351,z,1,0.2440803,None,568810,1,2024-10-11_19h04.27.544,MotorSequenceLearning,2024.1.5,None,2024-10-11 19h04.31.260832 +0530
-50,x,4,0,16,0,,,,,37.2319661,,37.2174738,37.2319661,38.216268,38.216268,38.216268,38.216268,38.2331067,39.2174844,39.2174844,40.0196068,x,1,0.792518,None,568810,1,2024-10-11_19h04.27.544,MotorSequenceLearning,2024.1.5,None,2024-10-11 19h04.31.260832 +0530
150,v,4,1,17,1,,,,,40.0352494,,40.0203833,40.0352494,41.0195677,41.0195677,41.0195677,41.0195677,41.0364061,42.0208517,42.0208517,42.7558633,v,1,0.7302044,None,568810,1,2024-10-11_19h04.27.544,MotorSequenceLearning,2024.1.5,None,2024-10-11 19h04.31.260832 +0530
50,c,4,2,18,2,,,,,42.7715884,,42.756551,42.7715884,43.7558478,43.7558478,43.7558478,43.7558478,43.7725467,44.7569944,44.7569944,45.292123,c,1,0.5230649,None,568810,1,2024-10-11_19h04.27.544,MotorSequenceLearning,2024.1.5,None,2024-10-11 19h04.31.260832 +0530
-150,z,4,3,19,3,,,,,45.3076006,,45.2927611,45.3076006,46.2918568,46.2918568,46.2918568,46.2918568,46.3087281,47.2933096,47.2933096,47.511088,z,1,0.2022133,None,568810,1,2024-10-11_19h04.27.544,MotorSequenceLearning,2024.1.5,None,2024-10-11 19h04.31.260832 +0530
-50,x,5,0,20,0,,,,,47.5264284,,47.5118083,47.5264284,48.5112063,48.5112063,48.5112063,48.5112063,48.5279414,49.512281,49.512281,49.8308525,x,1,0.3050117,None,568810,1,2024-10-11_19h04.27.544,MotorSequenceLearning,2024.1.5,None,2024-10-11 19h04.31.260832 +0530
150,v,5,1,21,1,,,,,49.846032,,49.8315333,49.846032,50.8301817,50.8301817,50.8301817,50.8301817,50.8472996,51.8317713,51.8317713,52.1163417,v,1,0.2725606,None,568810,1,2024-10-11_19h04.27.544,MotorSequenceLearning,2024.1.5,None,2024-10-11 19h04.31.260832 +0530
